RoomCd|RoomType|RoomCharacteristic|minPax|maxPax|maxAdults|maxChildren|minAdults|Description__ENG|TypeDescription__ENG|CharacteristicDescription__ENG|Description__IND|TypeDescription__IND|CharacteristicDescription__IND
APT.AC-C2|APT|AC-C2|1|2|2|2|1|APARTMENT CAPACITY 2 WITH AIR CONDITIONING|APARTMENT|CAPACITY 2 WITH AIR CONDITIONING|APARTEMEN KAPASITAS 2 DENGAN AC|APARTEMEN|KAPASITAS 2 DENGAN AC
APT.AS|APT|AS|0|7|7|2|1|APARTMENT CLASSIC|APARTMENT|CLASSIC|APARTEMEN KLASIK|APARTEMEN|KLASIK
APT.AS-1|APT|AS-1|1|2|2|1|1|APARTMENT CLASSIC|APARTMENT|CLASSIC|APARTEMEN KLASIK|APARTEMEN|KLASIK
APT.AS-2|APT|AS-2|1|2|2|0|1|APARTMENT CLASSIC|APARTMENT|CLASSIC|APARTEMEN KLASIK|APARTEMEN|KLASIK
APT.AS-4|APT|AS-4|1|4|4|0|1|APARTMENT CLASSIC|APARTMENT|CLASSIC|APARTEMEN KLASIK|APARTEMEN|KLASIK
APT.AS-5|APT|AS-5|5|5|3|2|3|APARTMENT CLASSIC|APARTMENT|CLASSIC|APARTEMEN KLASIK|APARTEMEN|KLASIK
APT.AS-6|APT|AS-6|1|6|6|0|1|APARTMENT CLASSIC|APARTMENT|CLASSIC|APARTEMEN KLASIK|APARTEMEN|KLASIK
APT.AS-B1|APT|AS-B1|1|5|4|2|1|APARTMENT CLASSIC ONE BEDROOM|APARTMENT|CLASSIC ONE BEDROOM|APARTEMEN KLASIK SATU KAMAR TIDUR|APARTEMEN|KLASIK SATU KAMAR TIDUR
APT.AS-B2|APT|AS-B2|1|6|6|5|1|APARTMENT CLASSIC TWO BEDROOMS|APARTMENT|CLASSIC TWO BEDROOMS|APARTEMEN KLASIK DUA KAMAR TIDUR|APARTEMEN|KLASIK DUA KAMAR TIDUR
APT.AS-VM|APT|AS-VM|1|3|2|1|1|APARTMENT CLASSIC SEA VIEW|APARTMENT|CLASSIC SEA VIEW|APARTEMEN KLASIK PEMANDANGAN LAUT|APARTEMEN|KLASIK PEMANDANGAN LAUT
APT.AX|APT|AX|0|7|7|6|1|APARTMENT ANNEX|APARTMENT|ANNEX|APARTEMEN PAVILIUN|APARTEMEN|PAVILIUN
APT.AX-1|APT|AX-1|6|6|6|0|6|APARTMENT ANNEX|APARTMENT|ANNEX|APARTEMEN PAVILIUN|APARTEMEN|PAVILIUN
APT.B1|APT|B1|0|8|8|6|1|APARTMENT ONE BEDROOM|APARTMENT|ONE BEDROOM|APARTEMEN SATU KAMAR|APARTEMEN|SATU KAMAR
APT.B1-1|APT|B1-1|0|6|6|3|1|APARTMENT ONE BEDROOM|APARTMENT|ONE BEDROOM|APARTEMEN SATU KAMAR|APARTEMEN|SATU KAMAR
APT.B1-2|APT|B1-2|1|5|5|3|1|APARTMENT ONE BEDROOM|APARTMENT|ONE BEDROOM|APARTEMEN SATU KAMAR|APARTEMEN|SATU KAMAR
APT.B1-3|APT|B1-3|1|4|3|2|1|APARTMENT ONE BEDROOM|APARTMENT|ONE BEDROOM|APARTEMEN SATU KAMAR|APARTEMEN|SATU KAMAR
APT.B1-4|APT|B1-4|1|4|4|2|1|APARTMENT ONE BEDROOM|APARTMENT|ONE BEDROOM|APARTEMEN SATU KAMAR|APARTEMEN|SATU KAMAR
APT.B1-5|APT|B1-5|1|3|2|1|1|APARTMENT ONE BEDROOM|APARTMENT|ONE BEDROOM|APARTEMEN SATU KAMAR|APARTEMEN|SATU KAMAR
APT.B1-6|APT|B1-6|1|6|6|5|1|APARTMENT ONE BEDROOM|APARTMENT|ONE BEDROOM|APARTEMEN SATU KAMAR|APARTEMEN|SATU KAMAR
APT.B1-7|APT|B1-7|1|3|3|1|1|APARTMENT ONE BEDROOM|APARTMENT|ONE BEDROOM|APARTEMEN SATU KAMAR|APARTEMEN|SATU KAMAR
APT.B1-8|APT|B1-8|1|4|4|1|1|APARTMENT ONE BEDROOM|APARTMENT|ONE BEDROOM|APARTEMEN SATU KAMAR|APARTEMEN|SATU KAMAR
APT.B1-9|APT|B1-9|1|2|2|0|1|APARTMENT ONE BEDROOM|APARTMENT|ONE BEDROOM|APARTEMEN SATU KAMAR|APARTEMEN|SATU KAMAR
APT.B1-C1|APT|B1-C1|0|3|3|0|1|APARTMENT CAPACITY 1 ONE BEDROOM|APARTMENT|CAPACITY 1 ONE BEDROOM|APARTEMEN KAPASITAS 1 SATU KAMAR|APARTEMEN|KAPASITAS 1 SATU KAMAR
APT.B1-C2|APT|B1-C2|0|4|4|2|1|APARTMENT CAPACITY 2 ONE BEDROOM|APARTMENT|CAPACITY 2 ONE BEDROOM|APARTEMEN KAPASITAS 2 SATU KAMAR|APARTEMEN|KAPASITAS 2 SATU KAMAR
APT.B1-C3|APT|B1-C3|0|5|5|2|1|APARTMENT CAPACITY 3 ONE BEDROOM|APARTMENT|CAPACITY 3 ONE BEDROOM|APARTEMEN KAPASITAS 3 SATU KAMAR|APARTEMEN|KAPASITAS 3 SATU KAMAR
APT.B1-C4|APT|B1-C4|0|6|6|4|1|APARTMENT CAPACITY 4 ONE BEDROOM|APARTMENT|CAPACITY 4 ONE BEDROOM|APARTEMEN KAPASITAS 4 SATU KAMAR|APARTEMEN|KAPASITAS 4 SATU KAMAR
APT.B1-C5|APT|B1-C5|0|6|5|4|1|APARTMENT CAPACITY 5 ONE BEDROOM|APARTMENT|CAPACITY 5 ONE BEDROOM|APARTEMEN KAPASITAS 5 SATU KAMAR|APARTEMEN|KAPASITAS 5 SATU KAMAR
APT.B1-C6|APT|B1-C6|0|8|8|8|1|APARTMENT CAPACITY 6 ONE BEDROOM|APARTMENT|CAPACITY 6 ONE BEDROOM|APARTEMEN KAPASITAS 6 SATU KAMAR|APARTEMEN|KAPASITAS 6 SATU KAMAR
APT.B1-CV|APT|B1-CV|1|6|6|4|1|APARTMENT CITY VIEW ONE BEDROOM|APARTMENT|CITY VIEW ONE BEDROOM|APARTEMEN PEMANDANGAN KOTA SATU KAMAR TIDUR|APARTEMEN|PEMANDANGAN KOTA SATU KAMAR TIDUR
APT.B1-DX|APT|B1-DX|0|5|4|3|1|APARTMENT DELUXE ONE BEDROOM|APARTMENT|DELUXE ONE BEDROOM|APARTEMEN DELUKS SATU KAMAR TIDUR|APARTEMEN|DELUKS SATU KAMAR TIDUR
APT.B1-DX-OV|APT|B1-DX-OV|1|5|5|4|1|APARTMENT DELUXE OCEAN VIEW ONE BEDROOM|APARTMENT|DELUXE OCEAN VIEW ONE BEDROOM|APARTEMEN DELUKS PEMANDANGAN SAMUDRA SATU KAMAR TIDUR|APARTEMEN|DELUKS PEMANDANGAN SAMUDRA SATU KAMAR TIDUR
APT.B1-EJ|APT|B1-EJ|1|5|5|3|1|APARTMENT EXECUTIVE ONE BEDROOM|APARTMENT|EXECUTIVE ONE BEDROOM|APARTEMEN EKSEKUTIF SATU KAMAR TIDUR|APARTEMEN|EKSEKUTIF SATU KAMAR TIDUR
APT.B1-GV|APT|B1-GV|0|6|6|4|1|APARTMENT GARDEN VIEW ONE BEDROOM|APARTMENT|GARDEN VIEW ONE BEDROOM|APARTEMEN PEMANDANGAN KEBUN SATU KAMAR TIDUR|APARTEMEN|PEMANDANGAN KEBUN SATU KAMAR TIDUR
APT.B1-KG|APT|B1-KG|0|5|5|4|1|APARTMENT KING BED ONE BEDROOM |APARTMENT|KING BED ONE BEDROOM |APARTEMEN RANJANG KING SATU KAMAR TIDUR |APARTEMEN|RANJANG KING SATU KAMAR TIDUR 
APT.B1-LX|APT|B1-LX|1|5|4|1|1|APARTMENT LUXURY ONE BEDROOM|APARTMENT|LUXURY ONE BEDROOM|APARTEMEN LUKSURI SATU KAMAR TIDUR|APARTEMEN|LUKSURI SATU KAMAR TIDUR
APT.B1-OF|APT|B1-OF|1|4|4|3|1|APARTMENT OCEAN FRONT ONE BEDROOM|APARTMENT|OCEAN FRONT ONE BEDROOM|APARTEMEN DEPAN SAMUDRA SATU KAMAR TIDUR|APARTEMEN|DEPAN SAMUDRA SATU KAMAR TIDUR
APT.B1-OV|APT|B1-OV|0|6|5|4|1|APARTMENT OCEAN VIEW ONE BEDROOM|APARTMENT|OCEAN VIEW ONE BEDROOM|APARTEMEN PEMANDANGAN SAMUDRA SATU KAMAR TIDUR|APARTEMEN|PEMANDANGAN SAMUDRA SATU KAMAR TIDUR
APT.B1-PE|APT|B1-PE|1|5|4|3|1|APARTMENT PREMIER ONE BEDROOM|APARTMENT|PREMIER ONE BEDROOM|APARTEMEN PREMIER SATU KAMAR TIDUR|APARTEMEN|PREMIER SATU KAMAR TIDUR
APT.B1-PI|APT|B1-PI|1|4|4|1|1|APARTMENT PREMIUM ONE BEDROOM|APARTMENT|PREMIUM ONE BEDROOM|APARTEMEN PREMIUM SATU KAMAR TIDUR|APARTEMEN|PREMIUM SATU KAMAR TIDUR
APT.B1-PO|APT|B1-PO|1|4|4|3|1|APARTMENT PARTIAL OCEAN VIEW ONE BEDROOM|APARTMENT|PARTIAL OCEAN VIEW ONE BEDROOM|APARTEMEN PEMANDANGAN PARSIAL SAMUDRA SATU KAMAR TIDUR|APARTEMEN|PEMANDANGAN PARSIAL SAMUDRA SATU KAMAR TIDUR
APT.B1-SS|APT|B1-SS|1|5|5|3|1|APARTMENT SIDE SEA VIEW ONE BEDROOM|APARTMENT|SIDE SEA VIEW ONE BEDROOM|APARTEMEN PEMANDANGAN TEPI LAUT SATU KAMAR TIDUR|APARTEMEN|PEMANDANGAN TEPI LAUT SATU KAMAR TIDUR
APT.B1-SU|APT|B1-SU|1|5|5|4|1|APARTMENT SUPERIOR ONE BEDROOM|APARTMENT|SUPERIOR ONE BEDROOM|APARTEMEN SUPERIOR SATU KAMAR TIDUR|APARTEMEN|SUPERIOR SATU KAMAR TIDUR
APT.B1-TR|APT|B1-TR|1|6|6|2|1|APARTMENT ONE BEDROOM WITH TERRACE|APARTMENT|ONE BEDROOM WITH TERRACE|APARTEMEN SATU KAMAR DENGAN TERAS|APARTEMEN|SATU KAMAR DENGAN TERAS
APT.B1-VM|APT|B1-VM|0|6|5|4|1|APARTMENT SEA VIEW ONE BEDROOM|APARTMENT|SEA VIEW ONE BEDROOM|APARTEMEN PEMANDANGAN LAUT SATU KAMAR TIDUR|APARTEMEN|PEMANDANGAN LAUT SATU KAMAR TIDUR
APT.B1-VP|APT|B1-VP|1|5|4|3|1|APARTMENT POOL VIEW ONE BEDROOM|APARTMENT|POOL VIEW ONE BEDROOM|APARTEMEN PEMANDANGAN KOLAM RENANG SATU KAMAR TIDUR|APARTEMEN|PEMANDANGAN KOLAM RENANG SATU KAMAR TIDUR
APT.B2|APT|B2|0|10|10|7|1|APARTMENT TWO BEDROOMS|APARTMENT|TWO BEDROOMS|APARTEMEN DUA KAMAR|APARTEMEN|DUA KAMAR
APT.B2-1|APT|B2-1|0|6|6|5|1|APARTMENT TWO BEDROOMS|APARTMENT|TWO BEDROOMS|APARTEMEN DUA KAMAR|APARTEMEN|DUA KAMAR
APT.B2-2|APT|B2-2|1|6|6|5|1|APARTMENT TWO BEDROOMS|APARTMENT|TWO BEDROOMS|APARTEMEN DUA KAMAR|APARTEMEN|DUA KAMAR
APT.B2-3|APT|B2-3|1|6|6|4|1|APARTMENT TWO BEDROOMS|APARTMENT|TWO BEDROOMS|APARTEMEN DUA KAMAR|APARTEMEN|DUA KAMAR
APT.B2-4|APT|B2-4|1|6|5|5|1|APARTMENT TWO BEDROOMS|APARTMENT|TWO BEDROOMS|APARTEMEN DUA KAMAR|APARTEMEN|DUA KAMAR
APT.B2-5|APT|B2-5|1|6|5|5|1|APARTMENT TWO BEDROOMS|APARTMENT|TWO BEDROOMS|APARTEMEN DUA KAMAR|APARTEMEN|DUA KAMAR
APT.B2-6|APT|B2-6|1|8|8|8|1|APARTMENT TWO BEDROOMS|APARTMENT|TWO BEDROOMS|APARTEMEN DUA KAMAR|APARTEMEN|DUA KAMAR
APT.B2-BF|APT|B2-BF|1|6|6|5|1|APARTMENT BEACH FRONT TWO BEDROOMS|APARTMENT|BEACH FRONT TWO BEDROOMS|APARTEMEN DEPAN PANTAI DUA KAMAR TIDUR|APARTEMEN|DEPAN PANTAI DUA KAMAR TIDUR
APT.B2-C2|APT|B2-C2|1|6|6|3|1|APARTMENT CAPACITY 2 TWO BEDROOMS|APARTMENT|CAPACITY 2 TWO BEDROOMS|APARTEMEN KAPASITAS 2 DUA KAMAR|APARTEMEN|KAPASITAS 2 DUA KAMAR
APT.B2-C3|APT|B2-C3|0|6|6|4|1|APARTMENT CAPACITY 3 TWO BEDROOMS|APARTMENT|CAPACITY 3 TWO BEDROOMS|APARTEMEN KAPASITAS 3 DUA KAMAR|APARTEMEN|KAPASITAS 3 DUA KAMAR
APT.B2-C4|APT|B2-C4|0|6|6|4|1|APARTMENT CAPACITY 4 TWO BEDROOMS|APARTMENT|CAPACITY 4 TWO BEDROOMS|APARTEMEN KAPASITAS 4 DUA KAMAR|APARTEMEN|KAPASITAS 4 DUA KAMAR
APT.B2-C5|APT|B2-C5|0|6|6|5|1|APARTMENT CAPACITY 5 TWO BEDROOMS|APARTMENT|CAPACITY 5 TWO BEDROOMS|APARTEMEN KAPASITAS 5 DUA KAMAR|APARTEMEN|KAPASITAS 5 DUA KAMAR
APT.B2-C6|APT|B2-C6|0|7|6|6|1|APARTMENT CAPACITY 6 TWO BEDROOMS|APARTMENT|CAPACITY 6 TWO BEDROOMS|APARTEMEN KAPASITAS 6 DUA KAMAR|APARTEMEN|KAPASITAS 6 DUA KAMAR
APT.B2-C7|APT|B2-C7|1|7|7|1|1|APARTMENT CAPACITY 7 TWO BEDROOMS|APARTMENT|CAPACITY 7 TWO BEDROOMS|APARTEMEN KAPASITAS 7 DUA KAMAR|APARTEMEN|KAPASITAS 7 DUA KAMAR
APT.B2-C8|APT|B2-C8|1|8|8|8|1|APARTMENT CAPACITY 8 TWO BEDROOMS|APARTMENT|CAPACITY 8 TWO BEDROOMS|APARTEMEN KAPASITAS 8 DUA KAMAR|APARTEMEN|KAPASITAS 8 DUA KAMAR
APT.B2-CV|APT|B2-CV|0|6|6|2|1|APARTMENT CITY VIEW TWO BEDROOMS|APARTMENT|CITY VIEW TWO BEDROOMS|APARTEMEN PEMANDANGAN KOTA DUA KAMAR TIDUR|APARTEMEN|PEMANDANGAN KOTA DUA KAMAR TIDUR
APT.B2-DX|APT|B2-DX|0|8|8|5|1|APARTMENT DELUXE TWO BEDROOM|APARTMENT|DELUXE TWO BEDROOM|APARTEMEN DELUKS DUA KAMAR TIDUR|APARTEMEN|DELUKS DUA KAMAR TIDUR
APT.B2-EJ|APT|B2-EJ|1|7|6|5|1|APARTMENT EXECUTIVE TWO BEDROOMS|APARTMENT|EXECUTIVE TWO BEDROOMS|APARTEMEN EKSEKUTIF DUA KAMAR TIDUR|APARTEMEN|EKSEKUTIF DUA KAMAR TIDUR
APT.B2-GV|APT|B2-GV|1|7|7|6|1|APARTMENT GARDEN VIEW TWO BEDROOMS|APARTMENT|GARDEN VIEW TWO BEDROOMS|APARTEMEN PEMANDANGAN KEBUN DUA KAMAR TIDUR|APARTEMEN|PEMANDANGAN KEBUN DUA KAMAR TIDUR
APT.B2-KG|APT|B2-KG|0|5|5|4|1|APARTMENT KING BED TWO BEDROOMS|APARTMENT|KING BED TWO BEDROOMS|APARTEMEN RANJANG KING DUA KAMAR TIDUR|APARTEMEN|RANJANG KING DUA KAMAR TIDUR
APT.B2-LX|APT|B2-LX|1|6|6|3|1|APARTMENT LUXURY TWO BEDROOMS|APARTMENT|LUXURY TWO BEDROOMS|APARTEMEN LUKSURI DUA KAMAR TIDUR|APARTEMEN|LUKSURI DUA KAMAR TIDUR
APT.B2-OF|APT|B2-OF|1|8|8|7|1|APARTMENT OCEAN FRONT TWO BEDROOMS|APARTMENT|OCEAN FRONT TWO BEDROOMS|APARTEMEN DEPAN SAMUDRA DUA KAMAR TIDUR|APARTEMEN|DEPAN SAMUDRA DUA KAMAR TIDUR
APT.B2-OV|APT|B2-OV|0|8|8|7|1|APARTMENT OCEAN VIEW TWO BEDROOMS|APARTMENT|OCEAN VIEW TWO BEDROOMS|APARTEMEN PEMANDANGAN SAMUDRA DUA KAMAR TIDUR|APARTEMEN|PEMANDANGAN SAMUDRA DUA KAMAR TIDUR
APT.B2-PE|APT|B2-PE|1|7|6|4|1|APARTMENT PREMIER TWO BEDROOMS|APARTMENT|PREMIER TWO BEDROOMS|APARTEMEN PREMIER DUA KAMAR TIDUR|APARTEMEN|PREMIER DUA KAMAR TIDUR
APT.B2-PO|APT|B2-PO|1|6|6|5|1|APARTMENT PARTIAL OCEAN VIEW TWO BEDROOMS|APARTMENT|PARTIAL OCEAN VIEW TWO BEDROOMS|APARTEMEN PEMANDANGAN PARSIAL SAMUDRA DUA KAMAR TIDUR|APARTEMEN|PEMANDANGAN PARSIAL SAMUDRA DUA KAMAR TIDUR
APT.B2-PP|APT|B2-PP|1|5|5|4|1|APARTMENT TWO BEDROOMS WITH PRIVATE POOL|APARTMENT|TWO BEDROOMS WITH PRIVATE POOL|APARTEMEN DUA KAMAR DENGAN KOLAM RENANG PRIBADI|APARTEMEN|DUA KAMAR DENGAN KOLAM RENANG PRIBADI
APT.B2-QN|APT|B2-QN|0|6|6|4|1|APARTMENT QUEEN BED TWO BEDROOMS|APARTMENT|QUEEN BED TWO BEDROOMS|APARTEMEN RANJANG QUEEN DUA KAMAR TIDUR|APARTEMEN|RANJANG QUEEN DUA KAMAR TIDUR
APT.B2-SS|APT|B2-SS|1|6|6|4|1|APARTMENT SIDE SEA VIEW TWO BEDROOMS|APARTMENT|SIDE SEA VIEW TWO BEDROOMS|APARTEMEN PEMANDANGAN TEPI LAUT DUA KAMAR TIDUR|APARTEMEN|PEMANDANGAN TEPI LAUT DUA KAMAR TIDUR
APT.B2-SU|APT|B2-SU|0|7|7|5|1|APARTMENT SUPERIOR TWO BEDROOMS|APARTMENT|SUPERIOR TWO BEDROOMS|APARTEMEN SUPERIOR DUA KAMAR TIDUR|APARTEMEN|SUPERIOR DUA KAMAR TIDUR
