Airport Code|Airport Name|City Name|Country Name
AEH|Abecher|Abecher|Chad
AEK|Aseki|Aseki|Papua New Guinea
AEL|Albert Lea|Albert Lea|United States
AEO|Aioun El Atrouss|Aioun El Atrouss|Mauritania
AEP|Arpt. Jorge Newbery|Buenos Aires|Argentina
AER|Adler/Sochi|Adler/Sochi|Russian Federation
AES|Vigra|Aalesund|Norway
AET|Allakaket|Allakaket|United States
AEU|Abu Musa|Abu Musa|Iran
AEX|Alexandria Intl.|Alexandria, LA|United States
AEY|Akureyri|Akureyri|Iceland
AFA|San Rafael|San Rafael|Argentina
AFD|Port Alfred|Port Alfred|South Africa
AFF|USAF Academy Airstrip|Colorado Springs|United States
AFI|Amalfi|Amalfi|Colombia
AFK|Kondavattavan Tank|Ampara|Sri Lanka
AFL|Alta Floresta|Alta Floresta|Brazil
AFN|Municipal|Jaffrey|United States
AFO|Municipal|Afton|United States
AFR|Afore|Afore|Papua New Guinea
AFS|Zarafshan|Zarafshan|Uzbekistan
AFT|Afutara Aerodrome|Afutara|Solomon Islands
AFW|Fort Worth Alliance|Fort Worth, TX|United States
AFY|Afyon|Afyon|Turkey
AFZ|Sabzevar|Sabzevar|Iran
AGA|Agadir Almassira|Agadir|Morocco
AGB|Augsburg - Muehlhausen|Munich|Germany
AGC|Allegheny County|Pittsburgh|United States
AGD|Anggi|Anggi|Indonesia
AGE|Flugplatz|Wangerooge|Germany
AGF|La Garenne|Agen|France
AGG|Angoram|Angoram|Papua New Guinea
AGH|Angelholm|Angelholm/Helsingborg|Sweden
AGI|Wageningen|Wageningen|Suriname
AGJ|Aguni|Aguni|Japan
AGK|Kagua|Kagua|Papua New Guinea
AGL|Wanigela|Wanigela|Papua New Guinea
AGM|Tasiilaq|Tasiilaq|Greenland
AGN|Angoon|Angoon|United States
AGO|Municipal|Magnolia|United States
AGP|Pablo Ruiz Picasso|Malaga|Spain
AGQ|Agrinion|Agrinion|Greece
AGR|Kheria|Agra|India
AGS|Bush Field|Augusta|United States
AGT|Alejo Garcia|Ciudad Del Este|Paraguay
AGU|Aguascalients|Aguascalientes|Mexico
AGV|Acarigua|Acarigua|Venezuela
AGW|Agnew|Agnew|Australia
AGX|Agatti Island|Agatti Island|India
AGY|Argyle Downs|Argyle Downs|Australia
AGZ|Aggeneys|Aggeneys|South Africa
AHA|Naha Air Force Base|Okinawa|Japan
AHB|Abha|Abha|Saudi Arabia
AHC|Amedee AAF|Herlong|United States
AHD|Downtown|Ardmore|United States
AHE|Ahe Arpt.|Ahe|French Polynesia
AHF|Municipal|Arapahoe|United States
AHH|Municipal|Amery|United States
AHI|Amahai|Amahai|Indonesia
AHL|Aishalton|Aishalton|Guyana
AHN|Athens|Athens|United States
AHO|Fertilia|Alghero|Italy
AHS|Ahuas|Ahuas|Honduras
AHT|Amchitka|Amchitka|United States
AHU|Charif Al Idrissi|Al Hoceima|Morocco
AHY|Ambatolahy|Ambatolahy|Madagascar
AHZ|Alpe D Huez|Alpe D Huez|France
AIA|Alliance|Alliance|United States
AIB|Anita Bay|Anita Bay|United States
AIC|Airok|Airok, Ailinglaplap|Marshall Islands
AID|Municipal|Anderson|United States
AIE|Aiome|Aiome|Papua New Guinea
AIF|Assis|Assis|Brazil
AIG|Yalinga|Yalinga|Central African Republic
AIH|Aiambak|Aiambak|Papua New Guinea
AII|Alisabieh|Alisabieh|Djibouti
AIK|Municipal|Aiken|United States
AIL|Ailigandi|Ailigandi|Panama
AIM|Ailuk Island|Ailuk Island|Marshall Islands
AIN|Wainwright|Wainwright|United States
AIO|Municipal|Atlantic|United States
AIP|Ailinglapalap Island|Ailinglapalap Island|Marshall Islands
AIS|Arorae Island|Arorae Island|Kiribati
AIT|Aitutaki|Aitutaki|Cook Islands
AIU|Atiu Island|Atiu Island|Cook Islands
AIV|George Downer|Aliceville|United States
AIW|Ai-ais|Ai-ais|Namibia
AIY|Bader Field|Atlantic City|United States
AIZ|Lee C Fine Memorial|Kaiser/Lake Ozark|United States
AJA|Campo Dell Oro|Ajaccio|France
AJF|Jouf|Sakaka Al Jouf|Saudi Arabia
AJI|Ağri|Agri|Turkey
AJJ|Akjoujt|Akjoujt|Mauritania
AJK|Araak|Araak|Iran
AJL|Aizawl|Aizawl|India
AJN|Ouani|Anjouan|Comoros
AJO|Aljouf|Aljouf|Yemen
AJR|Arvidsjaur|Arvidsjaur|Sweden
AJS|Abreojos|Abreojos|Mexico
AJU|Santa Maria|Aracaju|Brazil
AJY|Agades|Agades|Niger
AKA|Ankang|Ankang|China
AKB|Atka|Atka|United States
AKC|Fulton Intl.|Akron/Canton|United States
AKD|Akola|Akola|India
AKE|Akieni|Akieni|Gabon
AKF|Kufrah|Kufrah|Libya
AKG|Anguganak|Anguganak|Papua New Guinea
AKH|Prince Sultan Air Base|Al Kharj|Saudi Arabia
AKI|Akiak|Akiak|United States
AKJ|Asahikawa|Asahikawa|Japan
AKK|Akhiok SPB|Akhiok|United States
AKL|Auckland Intl.|Auckland|New Zealand
AKM|Zakouma|Zakouma|Chad
AKN|King Salmon|King Salmon|United States
AKO|Colorado Plains Regional Arpt.|Akron, CO|United States
AKP|Anaktuvuk|Anaktuvuk|United States
AKQ|Gunung Batin|Astraksetra|Indonesia
AKR|Akure|Akure|Nigeria
AKT|Akrotiri Raf|Akrotiri|Cyprus
AKU|Aksu|Aksu|China
AKV|Akulivik|Akulivik|Canada
AKW|Aghajari|Aghajari|Iran
AKX|Aktyubinsk|Aktyubinsk|Kazakhstan
AKY|Civil|Sittwe|Myanmar
ALA|Almaty|Almaty|Kazakhstan
ALB|Albany Intl.|Albany|United States
ALC|Alicante El Altet|Alicante|Spain
ALD|Alerta|Alerta|Peru
ALE|Alpine|Alpine|United States
ALF|Alta|Alta|Norway
ALG|Houari Boumediene|Algiers|Algeria
ALH|Albany|Albany|Australia
ALI|Intl.|Alice|United States
ALJ|Kortdoorn|Alexander Bay|South Africa
ALK|Asela|Asela|Ethiopia
ALL|Albenga|Albenga|Italy
ALM|Municipal|Alamogordo|United States
ALN|Alton|Alton|United States
ALO|Waterloo|Waterloo|United States
ALP|Nejrab|Aleppo|Syria
ALQ|Federal|Alegrete|Brazil
ALR|Alexandra|Alexandra|New Zealand
ALS|Municipal|Alamosa|United States
ALT|Alenquer|Alenquer|Brazil
ALU|Alula|Alula|Somalia
ALV|Andorra La Vella H/P|Andorra La Vella|Andorra
ALW|Walla Walla|Walla Walla|United States
ALX|Thomas C Russell Fld|Alexander City|United States
ALY|El Nohza|Alexandria|Egypt
ALZ|Alitak SPB|Alitak|United States
AMA|Rick Husband Amarillo Intl.|Amarillo, TX|United States
AMB|Ambilobe|Ambilobe|Madagascar
AMC|Am Timan|Am Timan|Chad
AMD|Ahmedabad|Ahmedabad|India
AME|Alto Molocue|Alto Molocue|Mozambique
AMF|Ama|Ama|Papua New Guinea
AMG|Amboin|Amboin|Papua New Guinea
AMH|Arba Mintch|Arba Mintch|Ethiopia
AMI|Selaparang|Mataram|Indonesia
AMJ|Almenara|Almenara|Brazil
AMK|Animas Airpark|Durango|United States
AML|Puerto Armuellas|Puerto Armuellas|Panama
AMM|Queen Alia Intl|Amman|Jordan
AMN|Gratiot Community|Alma|United States
AMO|Mao|Mao|Chad
AMP|Ampanihy|Ampanihy|Madagascar
AMQ|Pattimura|Ambon|Indonesia
AMR|Arno|Arno|Marshall Islands
AMS|Amsterdam-Schiphol|Amsterdam|Netherlands
AMT|Amata|Amata|Australia
AMU|Amanab|Amanab|Papua New Guinea
AMV|Amderma|Amderma|Russian Federation
AMW|Ames|Ames|United States
AMX|Ammaroo|Ammaroo|Australia
AMY|Ambatomainty|Ambatomainty|Madagascar
AMZ|Ardmore|Ardmore|New Zealand
ANA|Orange County Steel Salvage Heliport|Anaheim|United States
ANB|Anniston Metropolitan|Anniston|United States
ANC|Ted Stevens Anchorage Intl. Arpt.|Anchorage|United States
AND|Anderson|Anderson|United States
ANE|Marce|Angers|France
ANF|Cerro Moreno|Antofagasta|Chile
ANG|Brie-Champniers|Angouleme|France
ANH|Anuha Island Resort|Anuha Island Resort|Solomon Islands
ANI|Aniak|Aniak|United States
ANJ|Zanaga|Zanaga|Congo
ANK|Etimesgut|Ankara|Turkey
ANL|Andulo|Andulo|Angola
ANM|Antsirabato|Antalaha|Madagascar
ANN|Annette Island|Annette Island|United States
ANO|Angoche|Angoche|Mozambique
ANP|Lee|Annapolis|United States
ANQ|Tri-State Steuben Cty|Angola|United States
ANR|Deurne|Antwerp|Belgium
ANS|Andahuaylas|Andahuaylas|Peru
ANU|V. C. Bird Intl|St. John's|Antigua And Barbuda
ANV|Anvik|Anvik|United States
ANW|Ainsworth|Ainsworth|United States
ANX|Andenes|Andenes|Norway
ANY|Anthony|Anthony|United States
ANZ|Angus Downs|Angus Downs|Australia
AOA|Aroa|Aroa|Papua New Guinea
AOB|Annanberg|Annanberg|Papua New Guinea
AOC|Altenburg Nobitz|Altenburg|Germany
AOD|Abou Deia|Abou Deia|Chad
AOE|Anadolu University|Eskisehir|Turkey
AOG|Anshan|Anshan|China
AOH|Allen County|Lima|United States
AOI|Falconara|Ancona|Italy
AOJ|Aomori|Aomori|Japan
AOK|Karpathos|Karpathos|Greece
AOL|Paso De Los Libres|Paso De Los Libres|Argentina
AON|Arona|Arona|Papua New Guinea
AOO|Martinsburg|Martinsburg|United States
AOR|Alor Setar|Alor Setar|Malaysia
AOS|Amook|Amook|United States
AOU|Attopeu|Attopeu|Laos
APA|Arapahoe Co|Denver|United States
APB|Apolo|Apolo|Bolivia
APC|Napa County|Napa|United States
APE|San Juan Aposento|San Juan Aposento|Peru
APF|Naples|Naples|United States
APG|Phillips AAF|Aberdeen|United States
APH|Camp A P Hill|Bowling Green|United States
API|Apiay|Apiay|Colombia
APK|Apataki|Apataki|French Polynesia
APL|Nampula|Nampula|Mozambique
APN|Alpena County Regional|Alpena|United States
APO|Apartado|Apartado|Colombia
APP|Asapa|Asapa|Papua New Guinea
APQ|Arapiraca|Arapiraca|Brazil
APR|April River|April River|Papua New Guinea
APS|Anapolis|Anapolis|Brazil
APT|Marion County|Jasper|United States
APU|Apucarana|Apucarana|Brazil
APV|Apple Valley|Apple Valley|United States
APW|Faleolo|Apia|Samoa
APX|Arapongas|Arapongas|Brazil
APY|Alto Parnaiba|Alto Parnaiba|Brazil
APZ|Zapala|Zapala|Argentina
AQA|Araraquara|Araraquara|Brazil
AQB|Quiche Arpt.|Quiche|Guatemala
AQG|Anqing|Anqing|China
AQI|Qaisumah|Qaisumah|Saudi Arabia
AQJ|King Hussein Intl|Aqaba|Jordan
AQM|Ariquemes|Ariquemes|Brazil
AQP|Rodriguez Ballon|Arequipa|Peru
AQS|Saqani|Saqani|Fiji
AQY|Alyeska|Alyeska|United States
ARA|Acadiana Regional|New Iberia|United States
ARB|Municipal|Ann Arbor, MI|United States
ARC|Arctic Village|Arctic Village|United States
ARD|Alor Island|Alor Island|Indonesia
ARE|Arecibo|Arecibo|Puerto Rico
ARF|Acaricuara|Acaricuara|Colombia
ARG|Walnut Ridge|Walnut Ridge|United States
ARH|Arkhangelsk|Arkhangelsk|Russian Federation
ARI|Chacalluta|Arica|Chile
ARJ|Arso|Arso|Indonesia
ARK|Arusha|Arusha|Tanzania
ARL|Arly|Arly|Burkina Faso
ARM|Armidale|Armidale|Australia
ARN|Arlanda|Stockholm|Sweden
ARO|Arboletas|Arboletas|Colombia
ARP|Aragip|Aragip|Papua New Guinea
ARQ|Arauquita|Arauquita|Colombia
ARR|Alto Rio Senguerr|Alto Rio Senguerr|Argentina
ARS|Aragarcas|Aragarcas|Brazil
ART|Watertown|Watertown|United States
ARU|Aracatuba|Aracatuba|Brazil
ARV|Noble F. Lee|Minocqua|United States
ARW|Arad|Arad|Romania
ARX|Asbury Park|Neptune, NJ|United States
ARY|Ararat|Ararat|Australia
ASA|Assab Intl.|Assab|Eritrea
ASB|Ashgabat|Ashgabat|Turkmenistan
ASC|Ascension|Ascension|Bolivia
ASD|Andros Town|Andros Town|Bahamas
ASE|Aspen|Aspen|United States
ASF|Astrakhan|Astrakhan|Russian Federation
ASG|Ashburton|Ashburton|New Zealand
ASH|Boire Field|Nashua, NH|United States
ASI|Wideawake Field|Georgetown, Ascension Island|St. Helena
ASJ|Amami O Shima|Amami O Shima|Japan
ASK|Yamoussoukro|Yamoussoukro|Cote D'Ivoire
ASM|Yohannes IV|Asmara|Eritrea
ASN|Talladega|Talladega|United States
ASO|Asosa|Asosa|Ethiopia
ASP|Alice Springs|Alice Springs|Australia
ASQ|Austin|Austin|United States
ASR|Erkilet Intl. Arpt.|Kayseri|Turkey
AST|Astoria|Astoria|United States
ASU|Silvio Pettirossi|Asuncion|Paraguay
ASV|Amboseli|Amboseli|Kenya
ASW|Aswan|Aswan|Egypt
ASX|Ashland|Ashland|United States
ASY|Ashley|Ashley|United States
ATA|Anta|Anta|Peru
ATB|Atbara|Atbara|Sudan
ATD|Atoifi|Atoifi|Solomon Islands
ATE|Antlers|Antlers|United States
ATF|Chachoan|Ambato|Ecuador
ATG|Attock|Attock|Pakistan
ATH|Eleftherios Venizelos|Athens|Greece
ATI|Artigas|Artigas|Uruguay
ATJ|Antsirabe|Antsirabe|Madagascar
ATK|Atqasuk|Atqasuk|United States
ATL|Hartsfield-jackson Atlanta Intl.|Atlanta, GA|United States
ATM|Altamira|Altamira|Brazil
ATN|Namatanai|Namatanai|Papua New Guinea
ATO|Ohio University|Athens|United States
ATP|Airstrip|Aitape|Papua New Guinea
ATQ|Raja Sansi|Amritsar|India
ATR|Mouakchott|Atar|Mauritania
ATS|Artesia|Artesia|United States
ATT|Atmautluak|Atmautluak|United States
ATU|Casco Cove|Attu Island|United States
ATV|Ati|Ati|Chad
ATW|Outagamie County|Appleton|United States
ATX|Atbasar|Atbasar|Kazakhstan
ATY|Watertown|Watertown|United States
ATZ|Assiut|Assiut|Egypt
AUA|Reina Beatrix|Aruba|Aruba
AUB|Itauba|Itauba|Brazil
AUC|Arauca|Arauca|Colombia
AUD|Augustus Downs|Augustus Downs|Australia
AUE|Abu Rudeis|Abu Rudeis|Egypt
AUF|Auxerre Branches|Auxerre|France
AUG|Augusta|Augusta|United States
AUH|Abu Dhabi Intl.|Abu Dhabi|United Arab Emirates
AUI|Aua Island|Aua Island|Papua New Guinea
AUJ|Ambunti|Ambunti|Papua New Guinea
AUK|Alakanuk|Alakanuk|United States
AUL|Aur Island|Aur Island|Marshall Islands
AUM|Austin|Austin|United States
AUN|Auburn|Auburn|United States
AUO|Auburn-Opelika|Auburn|United States
AUP|Agaun|Agaun|Papua New Guinea
AUQ|Atuona|Atuona|French Polynesia
AUR|Aurillac|Aurillac|France
AUS|Austin-bergstrom Intl.|Austin|United States
AUT|Atauro|Atauro|Indonesia
AUU|Aurukun Mission|Aurukun Mission|Australia
AUV|Aumo|Aumo|Papua New Guinea
AUW|Municipal|Wausau|United States
AUX|Araguaina|Araguaina|Brazil
AUY|Aneityum|Aneityum|Vanuatu
AUZ|Municipal Arpt.|Aurora|United States
AVA|An Shun/Huang Guo Shu|An Shun|China
AVB|Aviano|Aviano|Italy
AVF|Avoriaz|Avoriaz|France
AVG|Auvergne|Auvergne|Australia
AVI|Maximo Gomez|Ciego De Avila|Cuba
AVK|Arvaikheer|Arvaikheer|Mongolia
AVL|Asheville Regional Arpt.|Fletcher|United States
AVN|Avignon-Caumont|Avignon|France
AVO|Municipal|Avon Park|United States
AVP|Wilkes-Barre/Scranton Intl. Arpt.|Wilkes-Barre/Scranton, PA|United States
AVU|Avu Avu|Avu Avu|Solomon Islands
AVV|Avalon|Melbourne|Australia
AVX|Avalon Bay|Catalina Island|United States
AWA|Awassa|Awassa|Ethiopia
AWB|Awaba|Awaba|Papua New Guinea
AWD|Aniwa|Aniwa|Vanuatu
AWE|Alowe|Alowe|Gabon
AWH|Awareh|Awareh|Ethiopia
AWK|Wake Island|Wake Island|US Minor Outlying Islands
AWM|Municipal|West Memphis|United States
AWN|Alton Downs|Alton Downs|Australia
AWP|Austral Downs|Austral Downs|Australia
AWR|Awar|Awar|Papua New Guinea
AWZ|Ahwaz|Ahwaz|Iran
AXA|Wallblake|Anguilla|Anguilla
AXB|Alexandria Bay|Alexandria Bay|United States
AXC|Aramac|Aramac|Australia
AXD|Dimokritos|Alexandroupolis|Greece
AXE|Xanxere|Xanxere|Brazil
AXG|Algona|Algona|United States
AXK|Ataq|Ataq|Yemen
AXL|Alexandria|Alexandria|Australia
AXM|El Eden|Armenia|Colombia
AXN|Alexandria|Alexandria|United States
AXP|Springpoint Arpt|Spring Point|Bahamas
AXR|Arutua|Arutua|French Polynesia
AXS|Municipal|Altus|United States
AXT|Akita|Akita|Japan
AXU|Axum|Axum|Ethiopia
AXV|Neil Armstrong|Wapakoneta|United States
AXX|Angel Fire|Angel Fire|United States
AYA|Ayapel|Ayapel|Colombia
AYC|Ayacucho|Ayacucho|Colombia
AYD|Alroy Downs|Alroy Downs|Australia
AYE|AAF Heliport|Fort Devens|United States
AYG|Yaguara|Yaguara|Colombia
AYH|RAF Station|Alconbury|United Kingdom
AYI|Yari|Yari|Colombia
AYK|Arkalyk|Arkalyk|Kazakhstan
AYL|Anthony Lagoon|Anthony Lagoon|Australia
AYN|Anyang|Anyang|China
AYO|Ayolas|Ayolas|Paraguay
AYP|Yanamilla|Ayacucho|Peru
AYQ|Connellan|Ayers Rock|Australia
AYR|Ayr|Ayr|Australia
AYS|Ware County|Waycross|United States
AYT|Antalya|Antalya|Turkey
AYU|Aiyura|Aiyura|Papua New Guinea
AYW|Ayawasi|Ayawasi|Indonesia
AYZ|Zahns|Amityville|United States
AZA|Phoenix-Mesa Gateway Airport|Phoenix|United States
AZB|Amazon Bay|Amazon Bay|Papua New Guinea
AZD|Yazd|Yazd|Iran
AZG|Apatzingan|Apatzingan|Mexico
AZI|Bateen|Abu Dhabi|United Arab Emirates
AZN|Andizhan|Andizhan|Uzbekistan
AZO|Kalamazoo/Battle Creek Intl|Kalamazoo|United States
AZP|Atizapan|Mexico City|Mexico
AZR|Adrar|Adrar|Algeria
AZS|Samaná El Catey Intl.|El Catey|Dominican Republic
AZT|Zapatoca|Zapatoca|Colombia
AZZ|Ambriz|Ambriz|Angola
BAA|Bialla|Bialla|Papua New Guinea
BAC|Barranca De Upia|Barranca De Upia|Colombia
BAE|Barcelonnette|Barcelonnette|France
BAG|Loakan|Baguio|Philippines
BAH|Bahrain Intl.|Manama|Bahrain
BAI|Buenos Aires|Buenos Aires|Costa Rica
BAJ|Bali|Bali|Papua New Guinea
BAL|Batman|Batman|Turkey
BAM|Lander County|Battle Mountain|United States
BAN|Basongo|Basongo|Zaire
BAO|Udorn|Ban Mak Khaen|Thailand
BAP|Baibara|Baibara|Papua New Guinea
BAQ|E Cortissoz|Barranquilla|Colombia
BAR|Baker Aaf|Baker Island|United States
BAS|Balalae|Balalae|Solomon Islands
BAT|Arpt. Chafei Amsei|Barretos|Brazil
BAU|Bauru|Bauru|Brazil
BAV|Baotou|Baotou|China
BAW|Biawonque|Biawonque|Gabon
BAX|Barnaul|Barnaul|Russian Federation
BAY|Baia Mare|Baia Mare|Romania
BAZ|Barbelos|Barbelos|Brazil
BBA|Teniente Vidal|Balmaceda|Chile
BBB|Municipal|Benson|United States
BBC|Bay City|Bay City|United States
BBD|Curtis Field|Brady|United States
BBE|Big Bell|Big Bell|Australia
BBF|Burlington|Burlington|United States
BBG|Butaritari|Butaritari|Kiribati
BBH|Barth|Barth|Germany
BBI|Bhubaneswar|Bhubaneswar|India
BBJ|Bitburg Air Base|Bitburg|Germany
BBK|Kasane|Kasane|Botswana
BBL|Babolsar|Babolsar|Iran
BBM|Battambang|Battambang|Cambodia
BBN|Bario|Bario|Malaysia
BBO|Berbera|Berbera|Somalia
BBP|Bembridge|Bembridge|United Kingdom
BBQ|Barbuda|Barbuda|Antigua and Barbuda
BBR|Baillif|Basse Terre|Guadeloupe
BBS|Blackbushe|Yateley|United Kingdom
BBT|Berberati|Berberati|Central African Republic
BBU|Baneasa|Bucharest|Romania
BBV|Hkg|Bereby|Cote D'Ivoire
BBW|Broken Bow|Broken Bow|United States
BBX|Wings Field|Blue Bell|United States
BBY|Bambari|Bambari|Central African Republic
BBZ|Zambezi|Zambezi|Zambia
BCA|Baracoa|Baracoa|Cuba
BCB|Virginia Tech|Blacksburg|United States
BCC|Bear Creek|Bear Creek|United States
BCD|Bacolod|Bacolod|Philippines
BCE|Bryce|Bryce|United States
BCF|Bouca|Bouca|Central African Republic
BCG|Bemichi|Bemichi|Guyana
BCH|Cakung Intl.|Baucau|East Timor-Indonesia
BCI|Barcaldine|Barcaldine|Australia
BCJ|Baca Grande|Baca Grande|United States
BCK|Bolwarra|Bolwarra|Australia
BCL|Barra Colorado|Barra Colorado|Costa Rica
BCM|Bacau|Bacau|Romania
BCN|El Prat De Llobregat|Barcelona|Spain
BCO|Jinka|Jinka|Ethiopia
BCP|Bambu|Bambu|Papua New Guinea
BCQ|Brack|Brack|Libya
BCR|Boca Do Acre|Boca Do Acre|Brazil
BCS|Southern Seaplane|Belle Chasse|United States
BCT|Public|Boca Raton|United States
BCU|Bauchi|Bauchi|Nigeria
BCV|Belmopan|Belmopan|Belize
BCW|Benguera Island|Benguera Island|Mozambique
BCX|Beloreck|Beloreck|Russian Federation
BCY|Bulchi|Bulchi|Ethiopia
BCZ|Bickerton Island|Bickerton Island|Australia
BDA|Kindley Field|Bermuda|Bermuda
BDB|Bundaberg|Bundaberg|Australia
BDC|Barra Do Corda|Barra Do Corda|Brazil
BDD|Badu Island|Badu Island|Australia
BDE|Baudette|Baudette|United States
BDF|Rinkenberger|Bradford|United States
BDG|Blanding|Blanding|United States
BDH|Bandar Lengeh|Bandar Lengeh|Iran
BDI|Bird Island|Bird Island|Seychelles
BDJ|Sjamsudin Noor|Banjarmasin|Indonesia
BDK|Bondoukou|Bondoukou|Cote D'Ivoire
BDL|Bradley Intl.|Windsor Locks, CT|United States
BDM|Bandirma|Bandirma|Turkey
BDN|Talhar|Badin|Pakistan
BDO|Husein Sastranegara|Bandung|Indonesia
BDP|Bhadrapur|Bhadrapur|Nepal
BDQ|Vadodara|Vadodara|India
BDR|Igor I. Sikorsky Mem.|Bridgeport|United States
BDS|Papola Casale|Brindisi|Italy
BDT|Gbadolite|Gbadolite|Democratic Republic of Congo
BDU|Bardufoss|Bardufoss|Norway
BDV|Moba|Moba|Zaire
BDW|Bedford Downs|Bedford Downs|Australia
BDX|Broadus|Broadus|United States
BDY|State|Bandon|United States
BDZ|Baindoung|Baindoung|Papua New Guinea
BEA|Bereina|Bereina|Papua New Guinea
BEB|Benbecula|Benbecula|United Kingdom
BEC|Beech|Wichita|United States
BED|Hanscom Field|Bedford/Hanscom|United States
BEE|Beagle Bay|Beagle Bay|Australia
BEF|Bluefields|Bluefields|Nicaragua
BEG|Nikola Tesla|Belgrade|Serbia
BEH|Ross Field|Benton Harbor|United States
BEI|Beica|Beica|Ethiopia
BEJ|Kalimaru|Tanjung Redep|Indonesia
BEK|Bareli|Bareli|India
BEL|Val De Cans|Belem|Brazil
BEM|Bossembele|Bossembele|Central African Republic
